head,head_type,relation,tail,tail_type,confidence,sentence
soil temperature,Climate_Variable,increases,pore water pressure,Climate_Variable,0.977,"We selected the northwestern section of the Xiao Xing'an Mountains in China as the study area, located in the degradation zone on the southern margin of the permafrost region in Eurasia, and set up multiple study monitoring areas equipped with methane concentration sensors, air temperature sensors, pore water pressure sensors and soil temperature sensors for long-term monitoring of data changes using the high-density electrical method, ground penetrating radar and on-site drilling to survey the distribution of frozen soil and geological conditions in the study area, combined with remote sensing images of Sentinel-2 L1C and unmanned aerial vehicle photographs and three-dimensional image reconstruction, analysis of fire activities and related geological environmental factors."
marsh wetland,Ecosystem,occurs_in,marsh wetland,Ecosystem,0.683,"The results show that since 2004, the permafrost thickness of the marsh wetland in the study area has gradually reduced and the degradation rate obviously accelerated; the organic matter and methane hydrate (metastable methane hydrate and stable methane hydrate) stored in the permafrost under the marsh wetland are gradually entering the atmosphere in the form of methane gas."
marsh wetland,Ecosystem,occurs_in,marsh wetland,Ecosystem,0.75,"The results show that since 2004, the permafrost thickness of the marsh wetland in the study area has gradually reduced and the degradation rate obviously accelerated; the organic matter and methane hydrate (metastable methane hydrate and stable methane hydrate) stored in the permafrost under the marsh wetland are gradually entering the atmosphere in the form of methane gas."
atmospheric pressure,Climate_Variable,increases,pore water pressure.,Climate_Variable,0.981,"Methane emissions show seasonal changes, and the annual methane emissions can be divided into three main stages, including a high-concentration short-term emission stage (March to May), a higher-concentration long-term stable emission stage (June to August) and a higher-concentration short-term emission stage (September to November); there is a certain correlation between the change in atmospheric methane concentration and the change in atmospheric pressure and pore water pressure."
pore water pressure.,Climate_Variable,increases,atmospheric pressure,Climate_Variable,0.978,"Methane emissions show seasonal changes, and the annual methane emissions can be divided into three main stages, including a high-concentration short-term emission stage (March to May), a higher-concentration long-term stable emission stage (June to August) and a higher-concentration short-term emission stage (September to November); there is a certain correlation between the change in atmospheric methane concentration and the change in atmospheric pressure and pore water pressure."
wildfire,Env_Event,occurs_in,"Southeast Siberia,",Geo_Location,0.958,"The high concentration of methane gas entering the surface in this stage is expected to increase the risk of wildfire in the permafrost degradation area in two ways (increasing the regional air temperature and self-combustion), which may be an important factor that leads to a seasonal wildfire frequency difference in the permafrost zone of Northeast China and Southeast Siberia, with the peak in spring and autumn and the monthly maximum in spring."
wildfires,Env_Event,contributes_to,climate change,Climate_Driver,0.929,The increase in the frequency of wildfires is projected to further generate positive feedback on climate change by affecting soil microorganisms and soil structure.
climate change,Climate_Driver,causes,wildfires,Env_Event,0.953,The increase in the frequency of wildfires is projected to further generate positive feedback on climate change by affecting soil microorganisms and soil structure.
wildfires.,Env_Event,occurs_in,Siberia,Geo_Location,0.951,"Southeastern Siberia and northeastern China, which are on the southern boundary of the permafrost region of Eurasia, need to be targeted to establish fire warning and management mechanisms to effectively reduce the risk of wildfires."
wildfires.,Env_Event,occurs_in,"China,",Geo_Location,0.955,"Southeastern Siberia and northeastern China, which are on the southern boundary of the permafrost region of Eurasia, need to be targeted to establish fire warning and management mechanisms to effectively reduce the risk of wildfires."
wildfires.,Env_Event,occurs_in,"Eurasia,",Geo_Location,0.973,"Southeastern Siberia and northeastern China, which are on the southern boundary of the permafrost region of Eurasia, need to be targeted to establish fire warning and management mechanisms to effectively reduce the risk of wildfires."
"global warming,",Climate_Driver,contributes_to,methane emissions.,Climate_Driver,0.923,"Affected by global warming, methane gas released by permafrost degradation may increase the frequency of wildfires, and there are few studies on wildfires in permafrost regions and their correlation with climate and regional methane emissions."
methane emissions.,Climate_Driver,contributes_to,"global warming,",Climate_Driver,0.97,"Affected by global warming, methane gas released by permafrost degradation may increase the frequency of wildfires, and there are few studies on wildfires in permafrost regions and their correlation with climate and regional methane emissions."
wildfires,Env_Event,occurs_in,Xiaoxingan Mountains,Geo_Location,0.977,"The northwestern section of the Xiaoxingan Mountains in China was selected as the study area, and the spatial relationship between permafrost and spring wildfires was studied based on Landsat TM and Sentinel-2 data."
wildfires,Env_Event,occurs_in,China,Geo_Location,0.975,"The northwestern section of the Xiaoxingan Mountains in China was selected as the study area, and the spatial relationship between permafrost and spring wildfires was studied based on Landsat TM and Sentinel-2 data."
